condsFile,shapeStim,taskLoop.thisRepN,taskLoop.thisTrialN,taskLoop.thisN,taskLoop.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrText.started,instrText.stopped,trialGrid.started,trialGrid.stopped,trialShape.started,trialShape.stopped,key_resp.keys,key_resp.corr,key_resp.started,key_resp.stopped,trialText.started,trialText.stopped,key_resp.rt,endText.started,endText.stopped,participant,session,date,expName,psychopyVersion,frameRate,
tSwitchCond1.xlsx,diamond3.png,0,0,0,0,0,19,19,6,,,24.4529404000059,None,24.4529404000059,None,m,1,0.0031736800010548905,None,24.4529404000059,None,0.08096210000803694,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond1.xlsx,square2.png,0,0,0,0,0,20,20,11,,,24.570702199998777,None,24.570702199998777,None,b,1,0.0027725800027837977,None,24.570702199998777,None,0.19626930000958964,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond1.xlsx,,0,0,0,0,,,,,,,,,,,,,,,,,,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond2.xlsx,diamond3.png,0,1,1,1,0,0,0,7,24.786431600005017,None,None,None,None,None,None,0,None,None,None,None,,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond2.xlsx,square3.png,0,1,1,1,0,1,1,16,,,27.044197199989867,None,27.044197199989867,None,m,0,0.009174899983918294,None,27.044197199989867,None,-2.136410299994168,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond2.xlsx,square2.png,0,1,1,1,0,2,2,10,,,27.081929499996477,None,27.081929499996477,None,b,1,0.008269279976957478,None,27.081929499996477,None,0.21405870000307914,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond2.xlsx,diamond2.png,0,1,1,1,0,3,3,0,,,27.335565000001225,None,27.335565000001225,None,m,0,0.0029850800056010485,None,27.335565000001225,None,0.1907022999948822,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond2.xlsx,square3.png,0,1,1,1,0,4,4,17,,,27.569437600002857,None,27.569437600002857,None,b,1,0.0023423800012096763,None,27.569437600002857,None,0.10141649999422953,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond2.xlsx,square2.png,0,1,1,1,0,5,5,14,,,27.70536859999993,None,27.70536859999993,None,m,0,0.0004870799893978983,None,27.70536859999993,None,0.09355260001029819,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond2.xlsx,diamond2.png,0,1,1,1,0,6,6,4,,,27.835535599995637,None,27.835535599995637,None,b,1,0.002707480001845397,None,27.835535599995637,None,0.12261030000809114,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond2.xlsx,diamond2.png,0,1,1,1,0,7,7,1,,,28.00185820000479,None,28.00185820000479,None,m,0,0.0029961800028104335,None,28.00185820000479,None,0.08440420000988524,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond2.xlsx,square3.png,0,1,1,1,0,8,8,19,,,28.12151189999713,None,28.12151189999713,None,b,1,0.0014277800073614344,None,28.12151189999713,None,0.12492269999347627,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond2.xlsx,diamond3.png,0,1,1,1,0,9,9,20,,,28.285462900006678,None,28.285462900006678,None,m,0,0.0030432799976551905,None,28.285462900006678,None,0.08104750000347849,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond2.xlsx,square2.png,0,1,1,1,0,10,10,11,,,28.403280200000154,None,28.403280200000154,None,b,1,0.002089080007863231,None,28.403280200000154,None,0.14758879999862984,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond2.xlsx,diamond3.png,0,1,1,1,0,11,11,9,,,28.588300700008404,None,28.588300700008404,None,m,0,0.00029368001560214907,None,28.588300700008404,None,0.13043780000589322,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond2.xlsx,diamond2.png,0,1,1,1,0,12,12,2,,,28.752980799996294,None,28.752980799996294,None,b,1,0.002291180004249327,None,28.752980799996294,None,0.31003429999691434,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond2.xlsx,square3.png,0,1,1,1,0,13,13,15,,,29.10297380000702,None,29.10297380000702,None,m,0,0.0020461800013436005,None,29.10297380000702,None,0.15173060000233818,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond2.xlsx,square2.png,0,1,1,1,0,14,14,13,,,29.285726600006456,None,29.285726600006456,None,b,1,0.0025802800082601607,None,29.285726600006456,None,0.20080820001021493,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond2.xlsx,diamond3.png,0,1,1,1,0,15,15,8,,,29.519456100009847,None,29.519456100009847,None,m,0,0.0018670800054678693,None,29.519456100009847,None,0.17533519999415148,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond2.xlsx,diamond2.png,0,1,1,1,0,16,16,3,,,29.736031399996136,None,29.736031399996136,None,b,1,0.0018076800042763352,None,29.736031399996136,None,0.15015610000409652,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond2.xlsx,square2.png,0,1,1,1,0,17,17,12,,,29.91933119999885,None,29.91933119999885,None,m,0,0.001863880010205321,None,29.91933119999885,None,0.22286099998746067,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond2.xlsx,diamond3.png,0,1,1,1,0,18,18,5,,,30.1881396999961,None,30.1881396999961,None,b,1,0.0006045799964340404,None,30.1881396999961,None,0.13899140000285115,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond2.xlsx,square3.png,0,1,1,1,0,19,19,18,,,30.36986780000734,None,30.36986780000734,None,b,1,0.0012442800216376781,None,30.36986780000734,None,0.3409818000072846,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
tSwitchCond2.xlsx,diamond3.png,0,1,1,1,0,20,20,6,,,30.751769800001057,None,30.751769800001057,None,m,0,0.0027253800071775913,None,30.751769800001057,None,0.18275599999469705,,,a,001,2020_Jul_25_1556,tSwitchTest4,2020.1.3,60.58362630281445,
